1,2,575,90,597,263,-3,189,349,81
79,2,544,120,567,293,-50,222,320,110
109,1,543,130,550,172,199,156,307,122
139,1,558,143,565,190,13,174,287,135
175,1,596,154,605,212,114,192,264,145
211,1,604,159,612,219,92,199,255,146
271,1,592,145,600,202,104,184,260,136
325,1,576,114,583,158,212,140,325,105
343,2,575,108,600,287,-15,209,345,96
373,2,596,101,621,277,19,198,370,90
439,1,590,114,595,156,230,138,342,103
463,1,585,116,591,161,214,142,335,105
493,1,552,116,558,161,181,143,299,108
541,1,528,111,533,153,176,138,284,105
565,1,516,111,520,148,187,135,289,104
625,1,496,111,499,145,166,138,275,104
643,1,470,111,475,147,134,141,244,105
652,1,454,110,460,150,111,143,226,105
