1,0,274,87,439,137,203,287,81,134
265,2,196,62,438,137,188,296,44,86
301,2,214,67,460,154,192,308,74,87
325,2,225,73,474,166,195,311,94,97
353,2,245,82,487,180,185,320,106,100
373,2,258,87,501,188,175,320,115,100
377,2,260,86,505,192,171,320,118,101
401,2,274,90,526,205,165,340,133,104
427,2,290,95,553,222,153,530,147,106
445,2,303,94,569,229,149,340,158,102
465,2,313,94,586,237,142,330,170,101
499,2,330,93,599,241,135,320,185,98
523,2,334,90,594,245,125,313,189,94
589,2,350,90,591,242,113,301,205,93
607,2,353,88,588,243,110,293,206,92
619,2,360,85,596,243,120,285,216,90
637,2,382,72,614,234,142,255,238,73
649,2,402,55,633,222,165,226,259,55
661,2,416,48,646,219,176,213,273,44
685,2,423,48,641,213,179,202,279,43
709,2,423,46,627,204,178,191,280,43
727,2,422,53,616,205,175,191,281,49
747,2,418,66,604,210,171,197,279,61
